timestamp,service_name,metric_name,value
1692569000,recommendationservice,cpu,15.4571
1692569060,recommendationservice,cpu,13.44
1692569120,recommendationservice,cpu,16.1257
1692569180,recommendationservice,cpu,16.4108
1692569240,recommendationservice,cpu,12.0734
1692569300,recommendationservice,cpu,13.0467
1692569360,recommendationservice,cpu,15.1918
1692569420,recommendationservice,cpu,14.5256
1692569480,recommendationservice,cpu,14.9748
1692569540,recommendationservice,cpu,13.7204
1692569600,recommendationservice,cpu,16.5556
1692569660,recommendationservice,cpu,22.2545
1692569720,recommendationservice,cpu,23.2814
1692569780,recommendationservice,cpu,28.0822
1692569840,recommendationservice,cpu,34.9001
1692569900,recommendationservice,cpu,38.6381
1692569960,recommendationservice,cpu,44.6909
1692570020,recommendationservice,cpu,49.2957
1692570080,recommendationservice,cpu,55.7309
1692570140,recommendationservice,cpu,60.8616
1692570200,recommendationservice,cpu,64.1872
1692570260,recommendationservice,cpu,68.3725
1692570320,recommendationservice,cpu,77.2579
1692570380,recommendationservice,cpu,78.3197
1692570440,recommendationservice,cpu,86.3012
1692570500,recommendationservice,cpu,91.0863
1692570560,recommendationservice,cpu,95.4643
1692570620,recommendationservice,cpu,100.4374
1692570680,recommendationservice,cpu,105.4472
1692570740,recommendationservice,cpu,110.1352
1692569000,recommendationservice,mem,40.5782
1692569060,recommendationservice,mem,41.2626
1692569120,recommendationservice,mem,37.0857
1692569180,recommendationservice,mem,39.3607
1692569240,recommendationservice,mem,39.0593
1692569300,recommendationservice,mem,38.7222
1692569360,recommendationservice,mem,39.4497
1692569420,recommendationservice,mem,42.9899
1692569480,recommendationservice,mem,38.2683
1692569540,recommendationservice,mem,41.9366
1692569600,recommendationservice,mem,36.6343
1692569660,recommendationservice,mem,39.3302
1692569720,recommendationservice,mem,40.3255
1692569780,recommendationservice,mem,41.1724
1692569840,recommendationservice,mem,41.4225
1692569900,recommendationservice,mem,41.5867
1692569960,recommendationservice,mem,39.3025
1692570020,recommendationservice,mem,39.0753
1692570080,recommendationservice,mem,41.716
1692570140,recommendationservice,mem,39.6174
1692570200,recommendationservice,mem,37.4486
1692570260,recommendationservice,mem,37.7334
1692570320,recommendationservice,mem,38.1611
1692570380,recommendationservice,mem,40.9943
1692570440,recommendationservice,mem,40.2849
1692570500,recommendationservice,mem,41.381
1692570560,recommendationservice,mem,39.1455
1692570620,recommendationservice,mem,40.3171
1692570680,recommendationservice,mem,41.2512
1692570740,recommendationservice,mem,39.3813
1692569000,recommendationservice,latency,0.0523
1692569060,recommendationservice,latency,0.0467
1692569120,recommendationservice,latency,0.0482
1692569180,recommendationservice,latency,0.0481
1692569240,recommendationservice,latency,0.044
1692569300,recommendationservice,latency,0.0524
1692569360,recommendationservice,latency,0.0477
1692569420,recommendationservice,latency,0.0501
1692569480,recommendationservice,latency,0.0524
1692569540,recommendationservice,latency,0.0522
